budget,age,category,tag,review_score,diff,appid
C,B,Single-player,Simulation,9,151237,413150
C,B,Single-player,Simulation,9,151237,413150
C,B,Single-player,Simulation,9,58754,227300
C,B,Single-player,RPG,9,304213,105600
C,B,Single-player,RPG,9,304213,105600
C,B,Single-player,RPG,9,304213,105600
C,B,Single-player,RPG,9,151237,413150
C,B,Single-player,RPG,9,151237,413150
C,B,Single-player,RPG,6,81684,346110
C,B,Single-player,Racing,8,151,934930
C,B,Single-player,Racing,8,151,934930
C,B,Single-player,Racing,8,151,934930
C,B,Single-player,Racing,8,141,882020
C,B,Single-player,Racing,8,141,882020
C,B,Single-player,Racing,8,110,926860
C,B,Single-player,Adventure,9,304213,105600
C,B,Single-player,Adventure,9,304213,105600
C,B,Single-player,Adventure,9,304213,105600
C,B,Single-player,Adventure,6,81684,346110
C,B,Single-player,Adventure,6,81684,346110
C,B,Single-player,Adventure,9,109932,892970
C,B,Single-player,Action,9,304213,105600
C,B,Single-player,Action,9,304213,105600
C,B,Single-player,Action,9,304213,105600
C,B,Single-player,Action,8,265850,359550
C,B,Single-player,Action,8,265850,359550
C,B,Single-player,Action,6,81684,346110
C,B,Single-player,Sports,6,3257,1313860
C,B,Single-player,Action,8,265850,359550
C,B,Single-player,Action,6,81684,346110
C,B,Single-player,Adventure,9,109932,892970
C,B,Single-player,Casual,8,1654,878750
C,B,Single-player,Racing,8,141,882020
C,B,Single-player,RPG,9,109932,892970
C,B,Single-player,Simulation,9,274439,4000
C,B,Single-player,Simulation,9,58692,227300
C,B,Single-player,Sports,8,151,934930
C,B,Single-player,Strategy,6,5381,882100
C,B,Single-player,Indie,6,81684,346110
C,B,Multi-player,Action,8,265850,359550
C,B,Multi-player,Action,8,265850,359550
C,B,Multi-player,Action,8,265850,359550
C,B,Multi-player,Action,8,185082,252490
C,B,Multi-player,Action,8,185082,252490
C,B,Multi-player,Action,6,81684,346110
C,B,Multi-player,Adventure,8,185082,252490
C,B,Multi-player,Adventure,8,185082,252490
C,B,Multi-player,Adventure,8,185082,252490
C,B,Multi-player,Adventure,6,81684,346110
C,B,Multi-player,Adventure,6,81684,346110
C,B,Multi-player,Adventure,9,109932,892970
C,B,Multi-player,Racing,8,151,934930
C,B,Multi-player,Racing,8,151,934930
C,B,Multi-player,Racing,8,151,934930
C,B,Multi-player,Racing,8,141,882020
C,B,Multi-player,Racing,8,141,882020
C,B,Multi-player,Racing,8,110,926860
C,B,Multi-player,RPG,8,185082,252490
C,B,Multi-player,RPG,8,185082,252490
C,B,Multi-player,RPG,8,185082,252490
C,B,Multi-player,RPG,9,151237,413150
C,B,Multi-player,RPG,9,151237,413150
C,B,Multi-player,RPG,6,81684,346110
C,B,Multi-player,Simulation,9,274439,4000
C,B,Multi-player,Simulation,9,274439,4000
C,B,Multi-player,Simulation,9,274439,4000
C,B,Multi-player,Simulation,9,151237,413150
C,B,Multi-player,Simulation,9,151237,413150
C,B,Multi-player,Simulation,6,3257,1313860
C,B,Multi-player,Sports,6,3257,1313860
C,B,Multi-player,Sports,6,3257,1313860
C,B,Multi-player,Sports,6,3257,1313860
C,B,Multi-player,Sports,8,3229,1263850
C,B,Multi-player,Sports,8,3229,1263850
C,B,Multi-player,Sports,8,151,934930
C,B,Multi-player,Strategy,8,30430,289070
C,B,Multi-player,Strategy,8,30430,289070
C,B,Multi-player,Strategy,8,30430,289070
C,B,Multi-player,Strategy,8,4834,570
C,B,Multi-player,Strategy,8,4834,570
C,B,Multi-player,Strategy,6,2215,933110
C,B,Multi-player,Indie,9,274439,4000
C,B,Multi-player,Indie,9,274439,4000
C,B,Multi-player,Indie,9,274439,4000
C,B,Multi-player,Indie,8,185082,252490
C,B,Multi-player,Indie,8,185082,252490
C,B,Multi-player,Indie,9,151237,413150
B,B,Multi-player,Indie,9,274439,4000
B,B,Multi-player,Indie,9,274439,4000
B,B,Multi-player,Indie,9,274439,4000
B,B,Multi-player,Indie,8,185082,252490
B,B,Multi-player,Indie,8,185082,252490
B,B,Multi-player,Indie,9,151237,413150
B,B,Multi-player,Sports,8,151,934930
B,B,Multi-player,Sports,8,151,934930
B,B,Multi-player,Sports,8,151,934930
B,B,Multi-player,Sports,8,141,882020
B,B,Multi-player,Sports,8,141,882020
B,B,Multi-player,Sports,5,52,887800
B,B,Multi-player,Simulation,9,274439,4000
B,B,Multi-player,Simulation,9,274439,4000
B,B,Multi-player,Simulation,9,274439,4000
B,B,Multi-player,Simulation,9,151237,413150
B,B,Multi-player,Simulation,9,151237,413150
B,B,Multi-player,Simulation,8,1584,924140
B,B,Multi-player,RPG,8,185082,252490
B,B,Multi-player,RPG,8,185082,252490
B,B,Multi-player,RPG,8,185082,252490
B,B,Multi-player,RPG,9,151237,413150
B,B,Multi-player,RPG,9,151237,413150
B,B,Multi-player,RPG,6,81684,346110
B,B,Multi-player,Racing,8,151,934930
B,B,Multi-player,Racing,8,151,934930
B,B,Multi-player,Racing,8,151,934930
B,B,Multi-player,Racing,8,141,882020
B,B,Multi-player,Racing,8,141,882020
B,B,Multi-player,Racing,8,110,926860
B,B,Multi-player,Adventure,8,185082,252490
B,B,Multi-player,Adventure,8,185082,252490
B,B,Multi-player,Adventure,8,185082,252490
B,B,Multi-player,Adventure,6,81684,346110
B,B,Multi-player,Adventure,6,81684,346110
B,B,Multi-player,Adventure,9,109932,892970
B,B,Multi-player,Action,8,265850,359550
B,B,Multi-player,Action,8,265850,359550
B,B,Multi-player,Action,8,265850,359550
B,B,Multi-player,Action,8,185082,252490
B,B,Multi-player,Action,8,185082,252490
B,B,Multi-player,Action,6,81684,346110
A,A,Multi-player,Action,8,265850,359550
A,A,Multi-player,Action,8,265850,359550
A,A,Multi-player,Action,8,185082,252490
A,A,Multi-player,Adventure,8,41246,1085660
A,A,Multi-player,Adventure,8,185082,252490
A,A,Multi-player,Adventure,8,185082,252490
A,A,Multi-player,Strategy,8,4834,570
A,A,Multi-player,Strategy,8,30430,289070
B,B,Multi-player,Strategy,8,30430,289070
B,B,Multi-player,Strategy,8,4834,570
B,B,Multi-player,Casual,8,2375,304930
B,B,Multi-player,Action,6,81684,346110
B,B,Multi-player,Action,8,265850,359550
B,B,Multi-player,Action,8,265850,359550
B,B,Multi-player,Action,8,185082,252490
B,B,Multi-player,RPG,9,151237,413150
B,B,Multi-player,RPG,9,151237,413150
B,B,Multi-player,RPG,6,81684,346110
B,B,Multi-player,Simulation,9,151237,413150
C,B,Single-player,Simulation,9,274439,4000
C,B,Single-player,Simulation,9,274439,4000
C,B,Single-player,Simulation,9,151237,413150
C,B,Single-player,Simulation,9,58692,227300
C,B,Single-player,Action,9,109932,892970
C,B,Single-player,Action,9,109932,892970
C,B,Single-player,Action,8,265850,359550
C,B,Single-player,Action,6,81684,346110
C,B,Single-player,Sports,8,151,934930
C,B,Single-player,Sports,6,3257,1313860
C,B,Single-player,Sports,8,3229,1263850
C,B,Single-player,Strategy,6,5381,882100
C,B,Single-player,Strategy,8,30430,289070
C,B,Single-player,Strategy,8,3487,930210
C,B,Single-player,Strategy,8,3487,930210
C,B,Single-player,Casual,8,1285,877200
C,B,Single-player,Casual,8,1654,878750
A,A,Co-op,Racing,8,110,926860
A,A,Co-op,Action,9,109932,892970
A,A,Co-op,Action,9,109932,892970
A,A,Co-op,Action,8,265850,359550
A,A,Co-op,Action,8,185082,252490
A,A,Co-op,RPG,9,151237,413150
A,A,Co-op,RPG,8,185082,252490
A,A,Co-op,Adventure,8,41246,1085660
A,A,Co-op,Adventure,8,185082,252490
A,A,Co-op,Adventure,9,109932,892970
A,A,Co-op,Indie,9,274439,4000
A,A,Co-op,Indie,9,151237,413150
A,A,Co-op,Indie,8,185082,252490
C,B,Co-op,Simulation,9,151237,413150
C,B,Co-op,Simulation,9,151237,413150
C,B,Co-op,Simulation,9,274439,4000
A,A,Single-player,Action,8,265850,359550
A,A,Single-player,Action,8,265850,359550
B,A,Single-player,Action,8,265850,359550
B,A,Single-player,Action,8,265850,359550
B,B,Single-player,Action,8,265850,359550
B,B,Single-player,Action,8,265850,359550
B,B,Single-player,Action,6,81684,346110
B,B,Multi-player,Action,8,265850,359550
B,B,Multi-player,Action,8,265850,359550
B,B,Multi-player,Action,6,81684,346110
B,B,Multi-player,Action,8,265850,359550
C,A,Co-op,Action,8,265850,359550
C,A,Co-op,Action,8,265850,359550
A,A,Co-op,Action,8,265850,359550
A,A,Co-op,Action,8,265850,359550
A,A,Co-op,Adventure,8,185082,252490
A,A,Co-op,Adventure,8,185082,252490
A,A,Co-op,Adventure,8,185082,252490
A,A,Single-player,Adventure,9,109932,892970
A,A,Single-player,Adventure,9,109932,892970
A,A,Single-player,Adventure,8,41246,1085660
A,A,Single-player,Adventure,8,41246,1085660
A,A,Single-player,Adventure,8,41246,1085660
A,A,Single-player,Adventure,8,41246,1085660
A,A,Multi-player,Adventure,8,41246,1085660
A,A,Multi-player,Adventure,8,41246,1085660
A,A,Multi-player,Adventure,8,41246,1085660
A,B,Multi-player,Adventure,8,41246,1085660
A,B,Multi-player,Adventure,8,41246,1085660
A,B,Multi-player,Adventure,8,41246,1085660
C,B,Multi-player,Adventure,6,81684,346110
C,B,Multi-player,Adventure,6,81684,346110
C,B,Multi-player,Adventure,6,81684,346110
A,B,Single-player,Casual,8,2375,304930
A,B,Single-player,Casual,8,2375,304930
A,B,Single-player,Casual,8,2375,304930
A,B,Single-player,Casual,8,1654,878750
B,A,Multi-player,Casual,8,2375,304930
B,A,Multi-player,Casual,8,2375,304930
B,A,Multi-player,Casual,8,2375,304930
B,A,Multi-player,Casual,5,119,887830
B,A,Co-op,Casual,8,2375,304930
B,A,Co-op,Casual,8,2375,304930
B,A,Co-op,Casual,8,2375,304930
C,A,Co-op,Casual,8,2375,304930
C,A,Co-op,Casual,8,2375,304930
A,A,Single-player,Racing,8,151,934930
A,A,Single-player,Racing,8,151,934930
A,B,Single-player,Racing,8,151,934930
A,B,Single-player,Racing,8,151,934930
A,B,Multi-player,Racing,8,151,934930
A,B,Multi-player,Racing,8,151,934930
A,B,Co-op,Racing,8,110,926860
B,B,Co-op,Racing,8,110,926860
C,B,Multi-player,Racing,8,151,934930
C,B,Multi-player,Racing,8,151,934930
C,B,Single-player,Racing,8,151,934930
C,B,Single-player,Racing,8,151,934930
A,A,Single-player,RPG,9,151237,413150
A,A,Single-player,RPG,9,151237,413150
A,A,Single-player,RPG,9,151237,413150
A,B,Single-player,RPG,9,151237,413150
A,B,Single-player,RPG,9,151237,413150
A,B,Multi-player,RPG,9,151237,413150
A,B,Multi-player,RPG,9,151237,413150
A,B,Multi-player,RPG,9,151237,413150
B,B,Multi-player,RPG,9,151237,413150
B,B,Multi-player,RPG,9,151237,413150
B,B,Multi-player,RPG,9,151237,413150
B,B,Multi-player,RPG,9,151237,413150
B,B,Co-op,RPG,9,151237,413150
B,B,Co-op,RPG,9,151237,413150
B,B,Co-op,RPG,9,151237,413150
B,B,Co-op,RPG,9,151237,413150
C,A,Single-player,RPG,9,151237,413150
C,A,Single-player,RPG,9,151237,413150
C,A,Single-player,RPG,9,151237,413150
C,B,Single-player,RPG,9,151237,413150
C,B,Single-player,RPG,9,151237,413150
C,B,Single-player,RPG,9,151237,413150
C,B,Multi-player,RPG,9,151237,413150
C,B,Multi-player,RPG,9,151237,413150
C,B,Multi-player,RPG,9,151237,413150
A,B,Single-player,Simulation,9,151237,413150
A,B,Single-player,Simulation,9,151237,413150
A,B,Single-player,Simulation,9,151237,413150
B,A,Multi-player,Simulation,9,151237,413150
B,A,Multi-player,Simulation,9,151237,413150
B,A,Multi-player,Simulation,9,151237,413150
B,A,Co-op,Simulation,9,151237,413150
B,A,Co-op,Simulation,9,151237,413150
C,A,Co-op,Simulation,9,151237,413150
C,A,Co-op,Simulation,9,151237,413150
A,A,Single-player,Sports,8,151,934930
A,A,Single-player,Sports,8,151,934930
A,B,Single-player,Sports,8,151,934930
A,B,Multi-player,Sports,8,151,934930
A,B,Multi-player,Sports,8,151,934930
B,B,Multi-player,Sports,8,151,934930
B,B,Multi-player,Sports,8,151,934930
C,B,Multi-player,Sports,6,3257,1313860
C,B,Multi-player,Sports,6,3257,1313860
C,B,Multi-player,Sports,6,3257,1313860
C,B,Multi-player,Sports,6,3257,1313860
C,B,Multi-player,Sports,8,3229,1263850
C,B,Multi-player,Sports,8,3229,1263850
C,B,Multi-player,Sports,8,3229,1263850
C,B,Single-player,Sports,6,3257,1313860
C,B,Single-player,Sports,6,3257,1313860
C,B,Single-player,Sports,6,3257,1313860
C,B,Single-player,Sports,8,3229,1263850
C,B,Single-player,Sports,8,3229,1263850
C,B,Single-player,Sports,6,3257,1313860
C,B,Single-player,Strategy,8,30430,289070
C,B,Single-player,Strategy,8,30430,289070
C,B,Single-player,Strategy,8,30430,289070
C,B,Single-player,Strategy,8,30430,289070
C,B,Single-player,Strategy,8,30430,289070
C,A,Multi-player,Strategy,8,30430,289070
C,A,Multi-player,Strategy,8,30430,289070
C,A,Multi-player,Strategy,8,30430,289070
C,B,Multi-player,Strategy,8,4834,570
C,B,Multi-player,Strategy,8,4834,570
C,B,Multi-player,Strategy,6,2215,933110
C,B,Multi-player,Strategy,8,4834,570
B,B,Co-op,Strategy,8,4834,570
B,B,Co-op,Strategy,8,4834,570
B,B,Co-op,Strategy,8,4834,570
A,B,Co-op,Strategy,8,4834,570
A,B,Co-op,Strategy,8,4834,570
A,B,Co-op,Strategy,5,119,887830
A,B,Co-op,Strategy,5,119,887830
A,A,Single-player,Indie,9,151237,413150
